A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
2,350,215,3,3,14,9,132,2,2,23,2,3,171,240,2
1,156,0,1,0,4,7,30,1,1,1,0,0,43,0,0
0,329,158,1,0,2,3,83,1,1,18,0,0,119,185,0
0,89,16,1,0,2,3,36,1,0,0,0,0,75,224,0
1,125,46,1,0,4,7,91,1,1,17,1,0,1,124,0
1,43,174,1,0,4,7,41,1,0,0,0,2,8,0,0
1,169,151,1,0,13,7,73,1,0,0,1,0,97,0,0
1,180,33,1,0,3,3,116,1,0,0,1,0,25,128,0
0,74,73,1,0,6,7,1,1,0,0,0,0,160,43,0
1,311,16,2,2,12,3,92,1,0,0,0,0,34,129,0
1,256,165,2,2,4,7,86,1,0,0,1,0,141,50,0
1,64,27,1,0,1,3,66,0,0,0,1,0,10,0,0
1,145,53,1,0,1,3,97,1,0,0,0,0,68,80,0
0,221,179,1,0,12,7,25,1,0,0,1,0,0,0,0
1,283,180,1,0,12,7,1,0,0,0,0,0,0,114,0
0,271,63,1,0,2,7,102,1,1,20,1,0,0,0,0
1,212,157,2,2,12,7,6,1,1,2,1,0,87,0,0
1,129,29,1,0,13,7,24,1,1,14,1,0,109,0,0
0,78,178,1,0,2,7,87,1,1,2,0,0,8,105,0
1,61,9,1,0,7,3,17,1,0,0,1,0,0,0,0
0,34,201,1,0,6,3,19,1,1,20,0,0,168,0,0
1,94,70,1,0,1,7,73,1,1,9,0,0,41,27,0
1,78,32,1,0,1,7,22,1,0,0,0,2,81,0,0
0,281,196,1,0,1,7,123,1,1,18,1,0,0,34,0
0,121,96,1,0,5,3,84,1,1,1,0,0,8,16,0
0,245,183,1,0,2,7,13,1,1,14,1,0,18,0,0
0,3,19,1,0,1,3,36,1,1,11,0,0,1,0,0
0,275,88,1,0,10,0,106,1,1,22,1,0,0,0,0
1,319,106,1,0,7,0,57,1,1,9,1,0,0,0,0
1,323,200,1,0,8,3,118,1,1,14,0,0,0,0,0
1,253,33,1,0,4,7,102,1,1,18,1,0,137,5,0
1,138,98,1,0,0,7,103,1,1,17,1,0,27,0,0
1,252,213,1,0,5,3,124,1,1,21,0,0,0,0,0
1,292,193,1,0,10,0,122,1,1,7,1,0,0,172,0
0,213,169,1,0,8,7,102,1,0,0,1,0,0,154,0
0,70,65,1,0,2,7,10,1,1,17,1,0,0,185,0
1,125,45,1,0,4,7,62,1,1,3,1,0,122,140,0
1,119,47,1,0,6,3,43,1,1,4,1,0,147,210,0
0,75,76,1,0,5,3,13,1,1,11,1,0,81,183,0
1,124,19,2,2,6,7,6,1,1,11,0,0,68,171,0
1,312,207,1,0,9,2,56,1,1,3,1,0,80,125,0
